,Created_at,Text,Clean Text,ID,Lang,Favourite_count,Retweet_count,Fecha creacion,Followers,Verificado,Cantidad Fav,País,Coordenadas,Screen_Name
4243,2022-03-21 13:42:33+00:00,"La huelga de camioneros por la subida del combustible me parece muy bien, pero en la huelga veo cabezas de camiones circulando.
Huelga de transporte: Directo | La Guardia Civil escolta a un convoy para garantizar el suministro de gasóleo | Hoy https://t.co/VnuraP98QB",la huelga de camioneros por la subida del combustible me parece muy bien  pero en la huelga veo cabezas de camiones circulando  huelga de transporte  directo   la guardia civil escolta a un convoy para garantizar el suministro de gas leo   hoy  ,1505902688441143297,es,0,0,2020-10-16 10:04:51+00:00,44,False,2908,"Sevilla, España",,ValienteNos
4245,2022-03-21 13:42:20+00:00,"RT @PJoliCo: Como siga la huelga de transporte, algunos en la izquierda lo van a pasar mal. Está agotado ya en la farmacias 🤣 https://t.co/…", como siga la huelga de transporte  algunos en la izquierda lo van a pasar mal  est  agotado ya en la farmacias    ,1505902632778485762,es,0,10,2014-07-06 11:32:56+00:00,707,False,103100,cataluña ESPAÑA,,serafin_ro
4246,2022-03-21 13:42:08+00:00,RT @EFCyL: Empresa Familiar de Castilla y León exige medidas urgentes para finalizar la huelga del transporte  @noticiascyl  https://t.co/E…, empresa familiar de castilla y le n exige medidas urgentes para finalizar la huelga del transporte      ,1505902581389869059,es,0,1,2012-04-24 08:59:15+00:00,585,False,6912,"Melilla, España",,JLMARLA
4247,2022-03-21 13:41:51+00:00,"CLM organiza dos convoyes para traer piensos a la región por la huelga del Transporte
Esta y otras noticias en Hora 14 Cuenca
https://t.co/6SedpjcqmL https://t.co/O7DLMKylWK",clm organiza dos convoyes para traer piensos a la regi n por la huelga del transporte esta y otras noticias en hora 14 cuenca    ,1505902512460734466,es,0,0,2011-02-24 09:54:18+00:00,6060,False,386,,,SERcuenca
4248,2022-03-21 13:41:46+00:00,Si estáis en la huelga de transporte pitando meteos el puto claxon por el culo pedazo de subnormales,si est is en la huelga de transporte pitando meteos el puto claxon por el culo pedazo de subnormales,1505902489094311937,es,3,0,2020-05-19 20:20:43+00:00,536,False,52789,"Owo, Nigeria",,buiz_el
4249,2022-03-21 13:41:26+00:00,@El_Palermasso el problema de la huelga de transporte lo arreglo yo en 10 minutos https://t.co/Ek9PC9MfR7,  palermasso el problema de la huelga de transporte lo arreglo yo en 10 minutos  ,1505902404637704197,es,61,7,2011-04-01 09:32:09+00:00,115,False,85,,,naxoranger
4251,2022-03-21 13:41:08+00:00,"RT @MIRAMETV: 🚑CSIF anuncia huelga para antes de Semana Santa en el 1-1-2, el SUC y el Transporte Sanitario No Urgentes
➡️Exige el cumplimi…",  csif anuncia huelga para antes de semana santa en el 1 1 2  el suc y el transporte sanitario no urgentes   exige el cumplimi ,1505902332118241288,es,0,1,2011-03-01 12:36:55+00:00,66380,False,23924,Tenerife - Islas Canarias,,ManuelArtilesTV
4260,2022-03-21 13:40:14+00:00,"Los equilibrios soeces del pesebre llamado en España sindicatos

Afra Blanco, sobre el paro de transporte: ""No es una huelga. Si un asalariado para, el empresario puede despedirlo"" https://t.co/F11RfSYHLN",los equilibrios soeces del pesebre llamado en espa a sindicatos  afra blanco  sobre el paro de transporte   no es una huelga  si un asalariado para  el empresario puede despedirlo   ,1505902104258482176,es,1,0,2014-12-07 22:55:43+00:00,215,False,13438,,,ceemelazo
4262,2022-03-21 13:39:59+00:00,Yo apoyo la huelga del transporte#huelgatransportes,yo apoyo la huelga del transporte huelgatransportes,1505902039066415107,es,0,0,2021-03-25 18:18:52+00:00,16,False,1082,,,Maricar30552738
4264,2022-03-21 13:39:52+00:00,RT @CopeMarbella: 🔵Importantísimas retenciones en Marbella a causa de la huelga del transporte con puntos muy complicados como la autovía a…,  important simas retenciones en marbella a causa de la huelga del transporte con puntos muy complicados como la autov a a ,1505902009886588930,es,0,1,2017-08-18 18:22:31+00:00,1270,False,36347,España-Madrid ,,Lizzymd66
4265,2022-03-21 13:39:02+00:00,RT @upta_es: @upta_es  Así es la plataforma que ha convocado el paro patronal y ha provocado los problemas en el sector del transporte http…,   es  as  es la plataforma que ha convocado el paro patronal y ha provocado los problemas en el sector del transporte http ,1505901799768739840,es,0,4,2014-06-18 11:15:58+00:00,970,False,8083,Sevilla,,InesMazuelaRo
4268,2022-03-21 13:38:21+00:00,Vuelven las marchas lentas de camiones en el octavo día de huelga del transporte https://t.co/JItD7Fa8sz,vuelven las marchas lentas de camiones en el octavo d a de huelga del transporte  ,1505901628016279552,es,1,0,2009-01-07 11:01:52+00:00,413913,True,4644,Madrid,,la_informacion
4269,2022-03-21 13:38:04+00:00,"Huelga de transporte hoy, última hora | Garamendi: ""Se tenían que haber tomado medidas, el país no puede estar parado""
⁦@elmundoes⁩  https://t.co/QYcRzOtN6R",huelga de transporte hoy   ltima hora   garamendi   se ten an que haber tomado medidas  el pa s no puede estar parado        ,1505901556696240132,es,0,0,2020-02-03 16:29:53+00:00,2180,False,97,,,conchapelaroro
4270,2022-03-21 13:38:03+00:00,"Llevo meses soñando con que viniese mi hija desde Sydney y poder ganar el Jubileo en Santiago. Queremos viajar el miércoles,,,, Viendo la huelga TOTAL del transporte da mucho yuyu. Pedro Sánchez, TE ODIO.",llevo meses so ando con que viniese mi hija desde sydney y poder ganar el jubileo en santiago  queremos viajar el mi rcoles     viendo la huelga total del transporte da mucho yuyu  pedro s nchez  te odio ,1505901554213310465,es,1,0,2011-02-16 15:36:45+00:00,2465,False,18819,Madrid,,MMayi
4272,2022-03-21 13:37:43+00:00,"Gasolineras de Andalucía y Levante comienzan a sufrir problemas de suministro por la huelga de transporte
⁦@elmundoes⁩  https://t.co/l2BjO725AG",gasolineras de andaluc a y levante comienzan a sufrir problemas de suministro por la huelga de transporte       ,1505901468905267202,es,0,0,2020-02-03 16:29:53+00:00,2180,False,97,,,conchapelaroro
4274,2022-03-21 13:37:04+00:00,"Queridos votantes del @PSOE ayer las grandes plataformas del transporte eran buenas, las pequeñas eran fachas. ¿Que son hoy las grandes que también empiezan huelga mañana? .. @UGT_Comunica @CCOO",queridos votantes del   ayer las grandes plataformas del transporte eran buenas  las peque as eran fachas   que son hoy las grandes que tambi n empiezan huelga ma ana       comunica  ,1505901305331691522,es,8,5,2012-08-23 19:00:33+00:00,4002,False,9547,,,busti46
4276,2022-03-21 13:36:46+00:00,"Al final la huelga deberá ser general, pues no sirven parches quirurgicos

Huelga de transporte, última hora | ""Preocupación"" en la Guardia Civil por las instrucciones del Gobierno pidiendo ""más contundencia"" en la huelga https://t.co/PDG8GnDNvC",al final la huelga deber  ser general  pues no sirven parches quirurgicos  huelga de transporte   ltima hora    preocupaci n  en la guardia civil por las instrucciones del gobierno pidiendo  m s contundencia  en la huelga  ,1505901232048812040,es,0,1,2014-12-07 22:55:43+00:00,215,False,13438,,,ceemelazo
4277,2022-03-21 13:36:10+00:00,"Las reuniones son en las marisquerías? Porque el gobierno no ha querido sentarse con la plataforma que organiza la huelga (minoritaria) según ellos #ccoo #ugt 

Protestas y reuniones en el octavo día de la huelga indefinida del transporte y camioneros https://t.co/BqZz1whbmE",las reuniones son en las marisquer as  porque el gobierno no ha querido sentarse con la plataforma que organiza la huelga  minoritaria  seg n ellos  ccoo  ugt   protestas y reuniones en el octavo d a de la huelga indefinida del transporte y camioneros  ,1505901081280327700,es,1,1,2021-07-30 10:53:08+00:00,13,False,312,,,VilmaPorCasa
4278,2022-03-21 13:35:44+00:00,RT @arachibuty: Gasolineras de Andalucía y Levante comienzan a sufrir problemas de suministro por la huelga de transporte https://t.co/QRxi…, gasolineras de andaluc a y levante comienzan a sufrir problemas de suministro por la huelga de transporte  ,1505900971519619079,es,0,1,2015-12-14 21:14:21+00:00,2850,False,222812,,,AntoniaPuertas
4279,2022-03-21 13:35:41+00:00,"La industria láctea alerta de que se han perdido tres millones de litros de leche por la huelga.
https://t.co/W8urrRUbeK",la industria l ctea alerta de que se han perdido tres millones de litros de leche por la huelga   ,1505900957787463683,es,0,0,2011-04-28 08:19:20+00:00,12029,False,3221,España,,juanhidalgocen
4284,2022-03-21 13:34:34+00:00,"Comienzan los cierres de gasolineras. Hoy en Tem dirán algo? Cambiarán el discurso? O seguirán intentando engañar de cuál es el problema ⁦⁩

Gasolineras de Andalucía y Levante comienzan a sufrir problemas de suministro por la huelga de transporte  https://t.co/hlZxu4pkmO",comienzan los cierres de gasolineras  hoy en tem dir n algo  cambiar n el discurso  o seguir n intentando enga ar de cu l es el problema     gasolineras de andaluc a y levante comienzan a sufrir problemas de suministro por la huelga de transporte   ,1505900679344361478,es,0,1,2021-07-30 10:53:08+00:00,13,False,312,,,VilmaPorCasa
4287,2022-03-21 13:33:02+00:00,"La próxima en cerrar.  

Inditex avisa de que sus marcas retrasan pedidos por la huelga de transporte https://t.co/j0GTE3743x",la pr xima en cerrar     inditex avisa de que sus marcas retrasan pedidos por la huelga de transporte  ,1505900292365336583,es,0,1,2021-07-30 10:53:08+00:00,13,False,312,,,VilmaPorCasa
4288,2022-03-21 13:33:01+00:00,"La Federación de la Industria Química Española ( @Feique_ES  ) manifiesta su grave preocupación por la evolución, en las últimas horas, del paro iniciado el pasado lunes por el sector transporte de mercancías por carretera 😥 #quimica
https://t.co/CzfISC23kv https://t.co/oL91UtpTHl",la federaci n de la industria qu mica espa ola     es    manifiesta su grave preocupaci n por la evoluci n  en las  ltimas horas  del paro iniciado el pasado lunes por el sector transporte de mercanc as por carretera    quimica    ,1505900288183611399,es,0,0,2011-12-13 16:55:52+00:00,379,False,716,Igualada,,COMERCIALGODO
4290,2022-03-21 13:32:36+00:00,"RT @BEHISTUN1972: Si los trabajadores van a la huelga la patronal los pone a parir. Es una ""vergüenza"" 
Ahora, como es la patronal del tran…", si los trabajadores van a la huelga la patronal los pone a parir  es una  verg enza   ahora  como es la patronal del tran ,1505900184768765956,es,0,8,2011-05-23 18:48:35+00:00,1876,False,43851,,,susopuente
4291,2022-03-21 13:32:16+00:00,"El bloqueo y atasco intencionado d camiones en las carreteras es un PARO PATRONAL, PARA PRESIONAR, (como hizo el sindicato vertical franquista del transporte en la transición, vean hererotecas)

""no hay ninguna huelga""

Y ""no hay que otorgar representatividad a quien no la tiene"" https://t.co/zGDsJ3KX6Z",el bloqueo y atasco intencionado d camiones en las carreteras es un paro patronal  para presionar   como hizo el sindicato vertical franquista del transporte en la transici n  vean hererotecas    no hay ninguna huelga   y  no hay que otorgar representatividad a quien no la tiene   ,1505900099251097600,es,0,0,2019-12-27 22:12:48+00:00,176,False,3734,España ,,sesamohabemus
4293,2022-03-21 13:32:09+00:00,RT @diariodejerez: Huelga del transporte Una caravana kilométrica de camiones y tractores recorre #Jerez en defensa del sector y por la sub…, huelga del transporte una caravana kilom trica de camiones y tractores recorre  jerez en defensa del sector y por la sub ,1505900069509345284,es,0,1,2013-10-23 06:44:59+00:00,61,False,24002,Festival Horizon,,Txuriurdin21
4297,2022-03-21 13:31:15+00:00,"🔴 Unos 300 camiones y 20 taxis han circulado por las rondas de Pamplona en la protesta de hoy 👉 Retenciones en algunos puntos, pero la marcha ha avanzado sin incidentes 👉 Durante 1h han estado saliendo camiones de la Ciudad del Transporte #Navarra https://t.co/WbMmUeE2Hi https://t.co/XjPM7HaNe8",  unos 300 camiones y 20 taxis han circulado por las rondas de pamplona en la protesta de hoy   retenciones en algunos puntos  pero la marcha ha avanzado sin incidentes   durante 1h han estado saliendo camiones de la ciudad del transporte  navarra    ,1505899842681376780,es,6,3,2009-03-06 13:20:15+00:00,109410,True,3556,"Pamplona, Navarra",,NoticiasNavarra
4298,2022-03-21 13:31:14+00:00,"RT @AUGC_Comunica: 🔴#ÚLTIMAHORA| Ensayos musicales con unidades de élite en las instalaciones del GRS 1 y en plena huelga de transporte.

h…",    ltimahora  ensayos musicales con unidades de  lite en las instalaciones del grs 1 y en plena huelga de transporte   h ,1505899838675865604,es,0,85,2016-07-15 11:19:09+00:00,4552,False,55545,"C/ Puerto Rico, 29, Madrid",,AUGC_TRAFICO
4301,2022-03-21 13:30:02+00:00,Inditex avisa de que sus marcas retrasan pedidos por la huelga de transporte https://t.co/elV7bXEmZf https://t.co/Y2zJH0FHis,inditex avisa de que sus marcas retrasan pedidos por la huelga de transporte    ,1505899536081903622,es,0,0,2015-10-27 17:24:53+00:00,630,False,50,,,FNW_ES
4302,2022-03-21 13:29:07+00:00,"🔵Importantísimas retenciones en Marbella a causa de la huelga del transporte con puntos muy complicados como la autovía a la altura de Puerto Banús y enlace con la carretera de Ronda.
https://t.co/bwoWXQKdhh https://t.co/ZqSQLox54F", important simas retenciones en marbella a causa de la huelga del transporte con puntos muy complicados como la autov a a la altura de puerto ban s y enlace con la carretera de ronda     ,1505899306070519812,es,0,1,2011-07-18 11:30:58+00:00,3593,False,1861,Marbella,,CopeMarbella
4303,2022-03-21 13:28:33+00:00,"Posteriormente, partirían hacia el polígono La Isla de Dos Hermanas para seguir con las reivindicaciones de todo el sector. 

#Huelga #Transporte

https://t.co/C7yVwaKKrx",posteriormente  partir an hacia el pol gono la isla de dos hermanas para seguir con las reivindicaciones de todo el sector     huelga  transporte   ,1505899165087420430,es,0,0,2020-02-03 08:43:35+00:00,213,False,41,Arahal,,Medial_TV
4304,2022-03-21 13:28:31+00:00,Con la huelga de transporte no sé cuándo me llegarán los CDs que pedí 🥲,con la huelga de transporte no s  cu ndo me llegar n los cds que ped   ,1505899156854001666,es,0,0,2009-10-28 15:27:57+00:00,500,False,61161,"Galicia, Spain.",,2ubang_
4307,2022-03-21 13:27:30+00:00,"Córdoba colapsada por la huelga indefinida del Sector del Transporte,
Las minorías según el desGobierno actual embustero y analfabeto, lleva a España a la ruina. https://t.co/KKZBAHkZm6",c rdoba colapsada por la huelga indefinida del sector del transporte  las minor as seg n el desgobierno actual embustero y analfabeto  lleva a espa a a la ruina   ,1505898899344707588,es,6,4,2019-12-08 22:52:16+00:00,25,False,3667,,,Mlp201421
4313,2022-03-21 13:26:18+00:00,"Unai Sordo: ""No hay ninguna huelga convocada en el sector del transporte, pero hay causas para el malestar en el sector"" https://t.co/0Lu7a0gwkw",unai sordo   no hay ninguna huelga convocada en el sector del transporte  pero hay causas para el malestar en el sector   ,1505898596947959813,es,1,0,2021-07-13 10:46:01+00:00,105,False,1228,"Málaga, España",,TrinidadSalced2
4314,2022-03-21 13:26:01+00:00,"@sanchezcastejon Eres un Mierda de presidente,has arruinado a España,t baja los pantalones con los moros,tienes en huelga a todo el transporte.Tú haciendo lo único q sabes hacer,de gira con el Falcón pagado por  nosotros.Presumes d izquierda,y tú lo que eres, ES UN GRAN FACHA",  eres un mierda de presidente has arruinado a espa a t baja los pantalones con los moros tienes en huelga a todo el transporte t  haciendo lo  nico q sabes hacer de gira con el falc n pagado por  nosotros presumes d izquierda y t  lo que eres  es un gran facha,1505898525267312644,es,0,0,2010-09-27 21:52:28+00:00,64,False,11027,,,tirodelinea
4315,2022-03-21 13:25:45+00:00,@adriiibervill_ APOYO TOTAL A LA HUELGA DE TRANSPORTE!! NO PAREIS DE DEFENDER LO JUSTO!!!! ANIMO!!!,   apoyo total a la huelga de transporte   no pareis de defender lo justo     animo   ,1505898460935036930,es,2,1,2016-11-26 08:49:11+00:00,105,False,3972,,,Solsan66
4316,2022-03-21 13:25:05+00:00,"@TonoSVJ Si CNTC no llega a un acuerdo la cosa se pondrá fea, entonces no habrá nadie que transporte nada, la carne escaseará, etc. Tiene pinta que va a ser así, así que habrá huelga general queramos o no.",  si cntc no llega a un acuerdo la cosa se pondr  fea  entonces no habr  nadie que transporte nada  la carne escasear   etc  tiene pinta que va a ser as   as  que habr  huelga general queramos o no ,1505898290658922503,es,0,0,2011-02-15 20:06:23+00:00,110,False,11608,Inglaterra,,yosan86gimeno
4323,2022-03-21 13:22:52+00:00,"@Kion1100 Hola, acabamos de reclamar el caso de nuevo, como sabes la huelga de transporte está afectando al envío del router. Contactamos contigo paa informarte de nuevo cuanto antes.",  hola  acabamos de reclamar el caso de nuevo  como sabes la huelga de transporte est  afectando al env o del router  contactamos contigo paa informarte de nuevo cuanto antes ,1505897731579158528,es,1,0,2018-05-22 11:01:08+00:00,22688,True,5,,,o2es
4324,2022-03-21 13:22:38+00:00,"Vuelven las marchas lentas de camiones en octavo día de huelga del transporte
https://t.co/AaWgHOdLNp https://t.co/pNfdJPHEe0",vuelven las marchas lentas de camiones en octavo d a de huelga del transporte    ,1505897674104582151,es,0,0,2010-05-05 09:00:41+00:00,665,False,42,España,,ProfesionalesH
